Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
1/17/2018,459,510,17.06,281,324,31.48,740
10/16/2014,143,184,48.91,,,,
4/30/2017,123,142,19.01,56,63,44.44,179
3/31/2017,342,408,10.78,135,152,35.53,477
6/8/2017,357,418,11.96,146,167,31.14,503
9/17/2015,359,466,5.58,,,,
11/29/2017,495,557,19.75,274,314,32.48,769
12/1/2014,137,170,36.47,,,,
1/21/2018,217,245,20.41,142,158,29.75,359
4/20/2017,412,476,8.82,181,204,45.1,593
6/4/2017,134,151,9.93,65,70,34.29,199
7/2/2015,429,474,6.33,,,,
9/5/2017,400,450,13.56,227,269,35.32,627
10/10/2017,448,499,16.83,241,276,33.33,689
11/21/2017,438,510,16.67,229,264,25.76,667
1/10/2018,443,515,15.92,305,340,25.88,748
7/10/2017,419,480,12.92,170,194,39.18,589
2/1/2017,358,419,7.88,152,180,52.22,510
2/14/2017,397,469,9.59,138,163,38.04,535
8/8/2015,276,292,2.4,,,,
7/28/2016,315,346,0,182,234,38.03,497
6/27/2017,384,436,13.76,202,234,35.47,586
2/24/2016,348,404,3.71,190,229,46.29,538
2/27/2017,446,508,9.84,145,176,48.3,591
9/19/2017,415,473,15.64,382,440,26.14,797
7/11/2015,186,200,6,,,,
2/24/2015,231,268,49.25,,,,
2/18/2017,132,155,12.26,58,63,46.03,190
12/15/2015,311,354,5.65,,,,
8/31/2018,455,514,26.46,216,237,23.21,671
12/4/2016,177,197,0.51,49,59,28.81,226
1/7/2017,104,114,7.89,20,22,40.91,124
1/26/2018,422,488,17.42,225,275,26.55,647
1/29/2015,236,278,50.72,,,,
3/14/2015,151,179,3.91,,,,
10/26/2016,342,394,0,169,191,42.93,511
9/22/2017,363,417,18.94,233,276,26.09,596
3/4/2017,165,193,10.36,51,54,37.04,216
12/13/2017,436,497,18.91,243,302,27.81,679
2/9/2018,437,498,16.87,261,295,28.47,698
1/3/2016,110,135,5.93,,,,
6/12/2017,392,457,19.26,150,163,34.97,542
3/18/2016,260,288,4.17,107,126,40.48,367
